,source_sentence,human,time,location,label,augmentation
112,"After an intership in a bank in Wil, canton of St. Gallen, she earned a business teaching diploma in 1937 and a doctor""s degree in economics in 1943 thanks to a thesis about the industry in Sarganserland.",she,1937,Sarganserland,education,"It is inscribed thus: ""Here lie interred the heads of Laur Hay: and Andrew Pitulloch, who suffered martyrdom at Edinburgh, July 13th, 1681, for adhering to the word of God, and Scotland""s covenanted work of reformation; and also one of the hands of David Hackston, of Rathillet, who was most cruelly martyred at Edinburgh, July 30th, 1680. Our persecutors filled with rage, Their brutish fury to assuage, Took heads and hands of martyrs off,  That they might be the people""s scoff."
113,"He attended and graduated from West Virginia University Perley Isaac Reed School of Journalism in 1982 and obtained a Master""s in Management in 1991 from The Pennsylvania State University.",He,1982,West Virginia University,education,"After an intership in a bank in Wil, canton of St. Gallen, she earned a business teaching diploma in 1937 and a doctor""s degree in economics in 1943 thanks to a thesis about the industry in Sarganserland."
114,"In September 2014, Azotam signed his first professional contract with Marín Peixegalego of the LEB Plata, the second-best basketball league in Spain behind the ACB.",Azotam,September 2014,Spain,start position,"He attended and graduated from West Virginia University Perley Isaac Reed School of Journalism in 1982 and obtained a Master""s in Management in 1991 from The Pennsylvania State University."
115,"Thierry competed in the 1996 Summer Paralympics in  Atlanta where he won a gold medal in the F42 shot put as well as competing in the pentathlon, discus and javelin.",he,1996,Atlanta,competition,"In September 2014, Azotam signed his first professional contract with Marín Peixegalego of the LEB Plata, the second-best basketball league in Spain behind the ACB."
116,"When Chad was made Bishop of Mercia in 669, he moved his see from Repton to Lichfield, possibly because this was already a holy site, as the scene of martyrdoms during the Roman period.",Chad,669,Mercia,start position,"Thierry competed in the 1996 Summer Paralympics in  Atlanta where he won a gold medal in the F42 shot put as well as competing in the pentathlon, discus and javelin."
117,"After moving to Toronto in 1973, Sally Clark served as playwright/dramaturge for Theatre Passe Muraille, the Shaw Festival, Nakai Theatre, Buddies in Bad Times Theatre and Nightwood Theatre.",Sally Clark,1973,Toronto,position held,"When Chad was made Bishop of Mercia in 669, he moved his see from Repton to Lichfield, possibly because this was already a holy site, as the scene of martyrdoms during the Roman period."
118,"He was four times Master of the Mercers"" Company, and Lord Mayor of London in 1572.He was born in 1511 to William Duckett of Flintham, Nottinghamshire and his wife Jane (née Redman), of Harwood Castle, Yorkshire.",William Duckett,1511,Flintham,give birth,"After moving to Toronto in 1973, Sally Clark served as playwright/dramaturge for Theatre Passe Muraille, the Shaw Festival, Nakai Theatre, Buddies in Bad Times Theatre and Nightwood Theatre."
119,In 2017 Roger Schmidt brought Kitzbichler to Beijing.,Kitzbichler,2017,Beijing,go to,"He was four times Master of the Mercers"" Company, and Lord Mayor of London in 1572.He was born in 1511 to William Duckett of Flintham, Nottinghamshire and his wife Jane (née Redman), of Harwood Castle, Yorkshire."
120,"Hillel Rapoport received his Ph.D in economics from the University of Paris II in 1993, followed by a habilitation at the University of Versailles.",Hillel Rapoport,1993,University of Paris II,education,"Hillel Rapoport completed his Ph.D in economics at the University of Paris II in 1993, and then obtained a habilitation at the University of Versailles."
121,Pisarenko performed regularly at the Komische Oper Berlin until 1976.,Pisarenko,1976,Komische Oper Berlin,performance,Pisarenko was a regular performer at the Komische Oper Berlin until 1976.
122,"Later in April, she went to Yüksekova, Hakkâri, and prepared an onsite field report about the events that were happening in the area.",she,April,Yüksekova,go to,"In April, she traveled to Yüksekova, Hakkâri, and compiled an onsite field report about the events that were unfolding in the area."
123,"At the age of 16, he was taken to Toronto by Harold ""Touch"" Wood, who assured him a professional contract at the end of his first year in college.","Harold ""Touch"" Wood",the age of 16,Toronto,go to,"When he was 16, Harold ""Touch"" Wood took him to Toronto, where he was promised a professional contract at the end of his first year in college."
124,Mikazuki received the Order of Culture award in Tokyo on 7 November 2007.,Mikazuki,7 November 2007,Tokyo,ceremony,Mikazuki was presented with the Order of Culture award in Tokyo on 7 November 2007.
125,"Randall was born in Toronto, Ontario in 1944.",Randall,1944,Toronto,birth,"Randall was born in Toronto, Ontario in 1944."
126,"In 1991, she graduated from Hunterdon Central Regional High School.",she,1991,Hunterdon Central Regional High School,education,She graduated from Hunterdon Central Regional High School in 1991.
127,"From 1929, Leppien studied at the Bauhaus Dessau with Josef Albers, Wassily Kandinsky and Paul Klee.",Wassily Kandinsky,From 1929,Bauhaus Dessau,education,"Starting in 1929, Leppien pursued studies at the Bauhaus Dessau with Josef Albers, Wassily Kandinsky and Paul Klee."
128,"Prince also coached the Louisiana Industrial baseball team in 1910, tallying a mark of 14–4.With the United States engaged in World War I, Prince left coaching to serve as a captain in the 1st Regiment of Infantry with headquarters at Monroe under Colonel Frank P. Stubbs Jr.",Prince,1910,Monroe,position held,"In 1910, Prince also coached the Louisiana Industrial baseball team, achieving a mark of 14–4. With the United States engaged in World War I, Prince left coaching to serve as a captain in the 1st Regiment of Infantry with headquarters at Monroe under Colonel Frank P. Stubbs Jr."
129,Parker died in Halifax at the age of 85.,Parker,the age of 85,Halifax,die,Parker passed away in Halifax at the age of 85.
130,"Other works he has directed at Covent Garden include Birtwhistle""s Gawain in 2000 and Wagner""s Parsifal in 2013.In 2012 Langridge was appointed Artistic Director of the Gothenburg opera house, a post he remained in until the end of the 2018-2019 season.",Wagner,2000,Gothenburg,position held,"Other works he has directed at Covent Garden include Birtwhistle""s Gawain in 2000 and Wagner""s Parsifal in 2013.In 2012 Langridge was appointed Artistic Director of the Gothenburg opera house, a post he remained in until the end of the 2018-2019 season."
131,"In April 1994, he joined the 3rd Battalion, 75th Ranger Regiment, Fort Benning, Georgia, where he served as a Battalion Training Officer, Assistant Operations Officer, and Rifle Company Commander, and later as a Liaison/Plans Officer with Headquarters and Headquarters Company, 75th Ranger Regiment.",he,April 1994,Georgia,position held,"He has also directed other works at Covent Garden, including Birtwhistle""s Gawain in 2000 and Wagner""s Parsifal in 2013. Langridge was appointed Artistic Director of the Gothenburg opera house in 2012, a post he remained in until the end of the 2018-2019 season."
132,"Ute Christensen (born 21 December 1955 in Neubrandenburg, East Germany) is a German actress.",Ute Christensen,21 December 1955,Neubrandenburg,birth,"In April 1994, the 3rd Battalion, 75th Ranger Regiment, Fort Benning, Georgia, welcomed him, where he served as a Battalion Training Officer, Assistant Operations Officer, and Rifle Company Commander, and later as a Liaison/Plans Officer with Headquarters and Headquarters Company, 75th Ranger Regiment."
133,"Resident in Ipswich, on 8 December 2013, a month after her retirement from tennis, she married her coach Niño Severino, a retired professional tennis coach turned multi-sports specialist in mental and movement training coach, who also works with Ipswich Town F.C. and in coaching martial arts athletes.",she,8 December 2013,Ipswich Town F.C.,settlement,"Ute Christensen (born 21 December 1955 in Neubrandenburg, East Germany) is a German actress."
134,"In 1986, he performed in Giants Stadium in New Jersey as part of Amnesty International""s A Conspiracy of Hope concert along with Bono, Carlos Santana, and the Neville Brothers.",Carlos Santana,1986,Giants Stadium,performance,"Living in Ipswich, on 8 December 2013, a month after her retirement from tennis, she married her coach Niño Severino, a retired professional tennis coach turned multi-sports specialist in mental and movement training coach, who also works with Ipswich Town F.C. and in coaching martial arts athletes."
135,"In January 1847, while serving as territorial governor, Bent traveled to his hometown of Taos without military protection.",Bent,January 1847,Taos,go to,"In 1986, Giants Stadium in New Jersey was the venue for his performance as part of Amnesty International""s A Conspiracy of Hope concert along with Bono, Carlos Santana, and the Neville Brothers."
136,"She moved to the University of Auckland where she undertook a PhD in chemistry (1966), supervised by Professor (later Sir) Neil Waters.",Neil Waters,1966,University of Auckland,education,"In January 1847, while serving as territorial governor, Bent made a trip to his hometown of Taos without military protection."
137,"Kataoka attended college at Stanford University, where she majored in Art History and graduated in 2000.",Kataoka,2000,Stanford University,education,"She moved to the University of Auckland where she pursued a PhD in chemistry (1966), supervised by Professor (later Sir) Neil Waters."
138,"Persoff attended the Hebrew Technical Institute, graduating in 1937.",Persoff,1937,Hebrew Technical Institute,education,"Kataoka's college years were spent at Stanford University, where she majored in Art History and graduated in 2000."
139,"In January 1866, he resumed a legal practice in Chicago, occupying the same office with Perkin Bass, then United States attorney, with whom he was associated in practice.",Perkin Bass,January 1866,Chicago,start position,"The Hebrew Technical Institute was attended by Persoff, graduating in 1937."
140,"4 October 2021, he died from an illness in Tianjin, aged 90.",he,90,Tianjin,die,"He passed away on 4 October 2021 in Tianjin, at the age of 90 due to an illness."
